river,year_release,abundance,abundance_unit,release_stage
ishizaki,2006,140,thousand_fish,fry
usubetsu,2006,99,thousand_fish,fry
oyobe,2006,34,thousand_fish,fry
chihase,2006,126,thousand_fish,fry
tomari,2006,121,thousand_fish,fry
toppu,2006,111,thousand_fish,fry
futoro,2006,166,thousand_fish,fry
furuu,2006,180,thousand_fish,fry
kenichi,2006,52,thousand_fish,fry
kenichi,2006,53,thousand_fish,fry
yobetsu,2006,100,thousand_fish,fry
shiotomari,2006,76,thousand_fish,fry
ishizaki,2007,140,thousand_fish,fry
usubetsu,2007,80,thousand_fish,fry
oyobe,2007,61,thousand_fish,fry
shiotomari,2007,206,thousand_fish,fry
shokanbetsu,2007,34,thousand_fish,fry
chihase,2007,125,thousand_fish,fry
tomari,2007,121,thousand_fish,fry
toppu,2007,90,thousand_fish,fry
nobusha,2007,51,thousand_fish,fry
futoro,2007,180,thousand_fish,fry
furuu,2007,180,thousand_fish,fry
kenichi,2007,50,thousand_fish,fry
kenichi,2007,50,thousand_fish,fry
yobetsu,2007,100,thousand_fish,fry
ishizaki,2008,74,thousand_fish,fry
ishizaki,2008,66,thousand_fish,fry
usubetsu,2008,80,thousand_fish,fry
oyobe,2008,61,thousand_fish,fry
shiotomari,2008,118,thousand_fish,fry
shokanbetsu,2008,284,thousand_fish,fry
chihase,2008,463,thousand_fish,fry
chihase,2008,125,thousand_fish,fry
tomari,2008,125,thousand_fish,fry
toppu,2008,90,thousand_fish,fry
nobusha,2008,128,thousand_fish,fry
futoro,2008,120,thousand_fish,fry
furuu,2008,180,thousand_fish,fry
kenichi,2008,50,thousand_fish,fry
yobetsu,2008,100,thousand_fish,fry
ishizaki,2009,187,thousand_fish,fry
usubetsu,2009,102,thousand_fish,fry
oyobe,2009,40,thousand_fish,fry
oyobe,2009,20,thousand_fish,fry
shiotomari,2009,91,thousand_fish,fry
shiotomari,2009,10,thousand_fish,fry
shokanbetsu,2009,220,thousand_fish,fry
chihase,2009,125,thousand_fish,fry
tomari,2009,125,thousand_fish,fry
toppu,2009,118,thousand_fish,fry
nobusha,2009,199,thousand_fish,fry
hime,2009,131,thousand_fish,fry
futoro,2009,200,thousand_fish,fry
furuu,2009,149,thousand_fish,fry
furuu,2009,30,thousand_fish,fry
kenichi,2009,90,thousand_fish,fry
yobetsu,2009,100,thousand_fish,fry
ishizaki,2010,50,thousand_fish,fry
usubetsu,2010,30,thousand_fish,fry
